"SiteID","Year","eventid","precipitation","eventStart","eventEnd","time"
"HOE",2019,21,0.01,2019-07-20 07:10:00,2019-07-20 10:40:00,4.5
"HOE",2019,25,0.009,2019-07-28 15:15:00,2019-07-28 16:15:00,2
"HOE",2019,29,0.01,2019-08-17 23:40:00,2019-08-18 00:05:00,1.41666666666667
"HOE",2019,31,0.008,2019-09-08 07:50:00,2019-09-08 10:00:00,3.16666666666667
"HOE",2019,33,0.012,2019-09-09 08:05:00,2019-09-09 11:00:00,3.91666666666667
"HOE",2019,35,0.023,2019-09-10 23:25:00,2019-09-11 05:10:00,6.75
"HOE",2019,37,0.025,2019-09-12 00:35:00,2019-09-12 06:40:00,7.08333333333333
"HOE",2019,39,0.025,2019-09-18 02:50:00,2019-09-18 06:15:00,4.41666666666667
"HOE",2019,41,0.02,2019-09-19 00:45:00,2019-09-19 01:35:00,1.83333333333333
"HOE",2019,47,0.038,2019-09-30 23:25:00,2019-10-01 16:40:00,18.25
"HOE",2019,51,0.038,2019-10-05 02:10:00,2019-10-05 07:15:00,6.08333333333333
"HOE",2020,2,0.049,2020-05-16 21:55:00,2020-05-17 13:40:00,16.75
"HOE",2020,6,0.01,2020-05-24 06:30:00,2020-05-24 07:35:00,2.08333333333333
"HOE",2020,12,0.008,2020-06-02 18:40:00,2020-06-02 19:10:00,1.5
"HOE",2020,14,0.008,2020-06-05 00:05:00,2020-06-05 00:25:00,1.33333333333333
"HOE",2020,16,0.007,2020-06-09 21:30:00,2020-06-10 01:25:00,4.91666666666667
"HOE",2020,18,0.016,2020-06-18 17:50:00,2020-06-18 19:30:00,2.66666666666667
"HOE",2020,20,0.012,2020-06-21 16:50:00,2020-06-21 21:15:00,5.41666666666667
"HOE",2020,26,0.029,2020-07-06 04:55:00,2020-07-06 07:25:00,3.5
"HOE",2020,30,0.044,2020-07-26 04:00:00,2020-07-26 07:20:00,4.33333333333333
"MAR",2017,2,0.025,2017-05-10 06:15:00,2017-05-10 14:25:00,9.16666666666667
"MAR",2017,4,0.008,2017-05-17 00:50:00,2017-05-17 01:00:00,1.16666666666667
"MAR",2017,6,0.013,2017-05-17 17:05:00,2017-05-17 17:15:00,1.16666666666667
"MAR",2017,8,0.007,2017-05-19 01:00:00,2017-05-19 03:30:00,3.5
"MAR",2017,10,0.007,2017-05-20 01:45:00,2017-05-20 03:15:00,2.5
"MAR",2017,14,0.017,2017-05-27 13:10:00,2017-05-27 13:55:00,1.75
"MAR",2017,16,0.02,2017-06-14 04:25:00,2017-06-14 10:30:00,7.08333333333333
"MAR",2017,18,0.04,2017-06-16 22:20:00,2017-06-17 01:15:00,3.91666666666667
"MAR",2017,28,0.022,2017-07-12 17:30:00,2017-07-12 18:00:00,1.5
"MAR",2017,30,0.023,2017-07-20 22:40:00,2017-07-20 23:30:00,1.83333333333333
"MAR",2017,34,0.04,2017-08-14 06:50:00,2017-08-14 07:40:00,1.83333333333333
"MAR",2017,40,0.008,2017-08-21 05:00:00,2017-08-21 06:00:00,2
"MAR",2017,48,0.025,2017-09-17 01:10:00,2017-09-17 03:15:00,3.08333333333333
"MAR",2017,52,0.028,2017-09-25 17:30:00,2017-09-26 02:35:00,10.0833333333333
"MAR",2017,54,0.008,2017-10-03 20:20:00,2017-10-04 02:15:00,6.91666666666667
"MAR",2017,60,0.037,2017-10-06 17:10:00,2017-10-07 02:05:00,9.91666666666667
"MAR",2017,64,0.05,2017-10-10 10:45:00,2017-10-10 14:45:00,5
"MAR",2017,68,0.017,2017-10-14 09:40:00,2017-10-14 19:25:00,10.75
"MAR",2017,70,0.022,2017-10-21 18:20:00,2017-10-21 23:25:00,6.08333333333333
"MAR",2018,4,0.018,2018-06-19 01:30:00,2018-06-19 05:15:00,4.75
"MAR",2018,6,0.028,2018-06-20 04:10:00,2018-06-20 05:45:00,2.58333333333333
"MAR",2018,8,0.021,2018-06-20 20:10:00,2018-06-20 21:00:00,1.83333333333333
"MAR",2018,12,0.017,2018-06-25 23:25:00,2018-06-26 03:40:00,5.25
"MAR",2018,16,0.046,2018-06-30 20:20:00,2018-07-01 00:10:00,4.83333333333333
"MAR",2018,18,0.018,2018-07-05 01:50:00,2018-07-05 02:35:00,1.75
"MAR",2018,20,0.007,2018-07-13 16:00:00,2018-07-13 16:05:00,1.08333333333333
"MAR",2018,24,0.012,2018-07-19 02:25:00,2018-07-19 05:40:00,4.25
"MAR",2018,32,0.034,2018-08-06 03:25:00,2018-08-06 05:50:00,3.41666666666667
"MAR",2018,34,0.041,2018-08-07 05:45:00,2018-08-07 08:05:00,3.33333333333333
"MAR",2018,36,0.019,2018-08-20 04:20:00,2018-08-20 11:05:00,7.75
"MAR",2018,42,0.023,2018-08-28 16:25:00,2018-08-28 19:50:00,4.41666666666667
"MAR",2018,50,0.012,2018-10-05 21:20:00,2018-10-06 02:40:00,6.33333333333333
"MAR",2018,54,0.019,2018-10-08 21:00:00,2018-10-09 05:20:00,9.33333333333333
"MAR",2019,6,0.013,2019-04-10 02:30:00,2019-04-10 05:00:00,3.5
"MAR",2019,20,0.012,2019-05-14 08:45:00,2019-05-14 09:40:00,1.91666666666667
"MAR",2019,22,0.008,2019-05-16 19:45:00,2019-05-17 05:10:00,10.4166666666667
"MAR",2019,26,0.024,2019-05-18 16:45:00,2019-05-19 00:35:00,8.83333333333333
"MAR",2019,28,0.015,2019-05-21 13:20:00,2019-05-21 18:55:00,6.58333333333333
"MAR",2019,30,0.037,2019-05-24 00:15:00,2019-05-24 07:45:00,8.5
"MAR",2019,36,0.01,2019-05-28 15:35:00,2019-05-28 16:20:00,1.75
"MAR",2019,42,0.014,2019-06-05 06:40:00,2019-06-05 07:25:00,1.75
"MAR",2019,44,0.014,2019-06-21 08:40:00,2019-06-21 11:15:00,3.58333333333333
"MAR",2019,46,0.009,2019-06-22 11:10:00,2019-06-22 11:55:00,1.75
"MAR",2019,48,0.014,2019-06-28 09:10:00,2019-06-28 09:55:00,1.75
"MAR",2019,50,0.032,2019-07-03 02:40:00,2019-07-03 06:30:00,4.83333333333333
"MAR",2019,54,0.019,2019-07-17 11:35:00,2019-07-17 11:55:00,1.33333333333333
"MAR",2019,56,0.016,2019-08-05 22:15:00,2019-08-05 22:55:00,1.66666666666667
"MAR",2019,58,0.00786,2019-08-12 06:00:00,2019-08-14 15:00:00,58
"MAR",2019,60,0.04801,2019-08-18 03:00:00,2019-08-20 07:00:00,53
"MAR",2019,66,0.06906,2019-09-07 16:00:00,2019-09-14 23:00:00,176
"MAR",2019,68,0.04645,2019-09-18 13:00:00,2019-09-22 19:00:00,103
"MAR",2019,70,0.009,2019-10-01 05:40:00,2019-10-01 08:30:00,3.83333333333333
"MAR",2019,72,0.037,2019-10-01 18:20:00,2019-10-02 00:45:00,7.41666666666667
