"Year","SiteID","Treatment","eventid","flow","flow_time","eventStart","eventEnd"
2018,"EIA","strips",48,2386.567,1611,2018-10-05 23:50:00,2018-10-07 02:40:00
2018,"EIA","strips",50,60937.901,3686,2018-10-07 19:50:00,2018-10-10 09:15:00
2016,"HOE","control",2,26.497,481,2016-09-09 05:00:00,2016-09-09 13:00:00
2016,"HOE","control",4,3.422,1081,2016-09-09 15:00:00,2016-09-10 09:00:00
2016,"HOE","control",6,372.238,1441,2016-09-14 23:00:00,2016-09-15 23:00:00
2016,"HOE","control",8,2000.941,2151,2016-09-24 16:50:00,2016-09-26 04:40:00
2016,"HOE","control",10,4046.198,1036,2016-10-04 18:25:00,2016-10-05 11:40:00
2016,"HOE","control",12,1009.896,1026,2016-10-06 19:00:00,2016-10-07 12:05:00
2016,"HOE","control",14,1084.536,1331,2016-10-25 18:20:00,2016-10-26 16:30:00
2017,"HOE","control",2,3145.306,3976,2017-04-17 19:15:00,2017-04-20 13:30:00
2017,"HOE","control",4,2330.136,1801,2017-04-25 11:35:00,2017-04-26 17:35:00
2017,"HOE","control",6,2383.903,1096,2017-04-30 19:55:00,2017-05-01 14:10:00
2017,"HOE","control",8,33.243,111,2017-05-15 12:45:00,2017-05-15 14:35:00
2017,"HOE","control",10,1341.035,3296,2017-05-16 08:40:00,2017-05-18 15:35:00
2017,"HOE","control",12,13551.175,2131,2017-05-20 01:10:00,2017-05-21 12:40:00
2017,"HOE","control",14,1300.84,1471,2017-05-22 16:30:00,2017-05-23 17:00:00
2017,"HOE","control",16,454.954,966,2017-05-29 17:00:00,2017-05-30 09:05:00
2017,"HOE","control",18,65.502,156,2017-06-03 16:30:00,2017-06-03 19:05:00
2017,"HOE","control",20,80.603,331,2017-06-12 11:45:00,2017-06-12 17:15:00
2017,"HOE","control",22,329.731,606,2017-06-14 00:20:00,2017-06-14 10:25:00
